obs  precinct  busha bushm gorea gorem brownea brownem nadera naderm harrisa harrism hagelina hagelinm buchanana buchananm mcreynoldsa mcreynoldsm phillipsa phillipsm mooreheada mooreheadm undera underm overa overm
235 106  436 436  649  650  1  1 20 20 0 0 0 0 13 13 0 0 2 2 0 0 41 40  47  47
236 107  362 362  402  402  0  0 14 14 0 0 0 0  6  6 0 0 0 0 0 0 18 18  46  46
237 108  265 265  448  448  4  4 12 12 0 0 0 0  2  2 1 1 0 0 0 0  7  7  33  33
238 108A  90  90  174  174  2  2  2  2 0 0 0 0  0  0 0 0 1 1 0 0  4  4  24  24
239 108B  24  24   35   35  0  0  1  1 0 0 0 0  1  1 0 0 0 0 0 0  0  0   3   3
240 109   43  43  416  416  2  2  0  0 0 0 1 0 13 13 3 3 0 0 0 0 52 52 102 102
241 110  459 459  601  601 10 10 18 18 0 0 2 2 11 11 1 1 0 0 0 0 18 19 26 25
242 111  261 263  623  626  4  4 11 11 0 0 0 0 16 16 3 3 0 1 0 0 26 17 61 64
243 112  865 866  769  769  2  2 26 27 0 0 0 0 14 14 0 0 0 0 1 1 41 38 53 54
244 113  431 432  604  605  2  2 20 20 0 0 0 0  4  4 0 0 1 1 1 1 10  9 40 39
245 113A 233 234  339  342  1  1 14 14 0 0 0 0  3  3 0 0 0 0 0 0 10  7 31 30
246 114   40  40   93   93  0  0  0  0 0 0 0 0  0  0 2 2 0 0 0 0  7  7 15 15
247 114A  36  36   92   92  0  0  2  2 0 0 0 0  2  2 0 0 0 0 0 0  3  2 22 23
248 114B  41  42   84   84  0  0  0  0 0 0 0 0  3  3 0 0 0 0 0 0  5  4 20 20
249 114C   5   5    1    1  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0  0  0
250 114D   6   6    1    1  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0  0  0
251 115  251 251  309  309  0  0  6  6 0 0 0 0 10 10 1 1 0 0 0 0 17 17 39 39
252 116   30  30   49   49  0  0  1  1 0 0 0 0  0  0 1 1 1 1 0 0  1  1 12 12
253 117  336 336  669  669  4  4 23 23 0 0 1 1  8  9 1 1 1 1 1 2  4  2 59 59
254 117A 422 423  816  817  4  4 10 10 0 0 2 2  9  9 0 0 1 1 2 2 10 10 92 90
